release_date,popularity,vote_count,genre,productions,imdb_rating,director,casts
2019,38.299,3618,horror fantasy,lin-pictures new-line-cinema warner-bros.-pictures vertigo-entertainment katzsmith-productions,6.6,andy-muschietti,jessica-chastain james-mcavoy bill-hader
2019,38.171,1387,action thriller,campbell-grobman-films eclectic-pictures g-base millennium-films,6.4,ric-roman-waugh,gerard-butler frederick-schmidt danny-huston
2004,38.141,4755,fantasy animation adventure,d-rights tokuma-shoten tohokushinsha-film-corporation-(tfc) studio-ghibli mitsubishi dentsu-music-and-entertainment buena-vista-home-entertainment nippon-television-network-corporation,8.2,hayao-miyazaki,chieko-baishô takuya-kimura tatsuya-gashûin
2019,37.882,430,drama thriller,class-5-films mwm-studios,6.8,edward-norton,edward-norton gugu-mbatha-raw alec-baldwin
2019,37.79,1312,horror thriller mystery comedy,mythology-entertainment vinson-films fox-searchlight-pictures,6.8,unknown,samara-weaving adam-brody mark-o'brien
2005,37.743,13889,action crime drama,dc-comics legendary-entertainment dc-entertainment syncopy patalex-iii-productions-limited warner-bros.-pictures,8.2,christopher-nolan,christian-bale michael-caine ken-watanabe
2019,37.646,713,comedy romance drama,universal-pictures feigco-entertainment,6.5,paul-feig,madison-ingoldsby emma-thompson boris-isakovic
2018,37.628,7991,action adventure science-fiction comedy,marvel-studios,7.1,peyton-reed,paul-rudd evangeline-lilly michael-peña
2019,37.419,4610,action science-fiction adventure,troublemaker-studios lightstorm-entertainment 20th-century-fox tsg-entertainment,7.3,robert-rodriguez,rosa-salazar christoph-waltz jennifer-connelly
2016,37.366,11320,animation adventure family comedy,walt-disney-animation-studios walt-disney-pictures,8.0,unknown,ginnifer-goodwin jason-bateman idris-elba
2018,37.345,8774,adventure science-fiction,amblin-entertainment de-line-pictures warner-bros.-pictures dune-entertainment farah-films-&-management reliance-entertainment village-roadshow-pictures,7.5,steven-spielberg,tye-sheridan olivia-cooke ben-mendelsohn
